"","LONGITUDE","LATITUDE","LFA","GRID"
"94",-64.3628370225,43.2514783072,"33",493
"95",-64.2306858447,43.3225064885,"33",494
"96",-64.1058008237,43.3894882644,"33",495
"97",-63.957222391,43.4696626781,"33",496
"98",-66.1804256254,44.8381901947,"34",42
"99",-66.064756742,44.8586019191,"34",43
"100",-65.9574726409,44.8763098219,"34",44
"101",-66.2257542085,44.7330925652,"34",53
"102",-66.0833330147,44.7500019067,"34",54
"103",-65.9538067362,44.7082864998,"34",55
"104",-66.3771397882,44.5565935206,"34",66
"105",-66.2499990455,44.5833358759,"34",67
"106",-66.0885815851,44.5890321907,"34",68
"107",-65.937466572,44.5488029138,"34",69
"108",-66.6812113267,44.3434162527,"34",77
"109",-66.5651016847,44.3836588904,"34",78
"110",-66.4158259815,44.415792563,"34",79
"111",-66.2501020118,44.4219232107,"34",80
"112",-66.0930078789,44.4169006829,"34",81
"113",-66.8724663399,44.1937971134,"34",88
"114",-66.740144547,44.2372178581,"34",89
"115",-66.5833330146,44.2500019068,"34",90
"116",-66.4166660301,44.2500019068,"34",91
"117",-66.2240827243,44.2491178893,"34",92
"118",-67.0637144267,44.0441783517,"34",98
"119",-66.9145764721,44.0810889757,"34",99
"120",-66.7499990459,44.083335876,"34",100
"121",-66.5833330146,44.083335876,"34",101
"122",-66.4166660301,44.083335876,"34",102
"123",-66.2485285654,44.0787621421,"34",103
"124",-67.3621392731,43.8573258471,"34",107
"125",-67.2378758606,43.899650392,"34",108
"126",-67.0833330154,43.9166679377,"34",109
"127",-66.9166660309,43.9166679377,"34",110
"128",-66.7499990459,43.9166679377,"34",111
"129",-66.5833330146,43.9166679377,"34",112
"130",-66.4166660301,43.9166679377,"34",113
"131",-66.2338755973,43.9141843652,"34",114
"132",-67.3630405456,43.7691930412,"34",118
"133",-67.2499990462,43.7500019069,"34",119
"134",-67.0833330154,43.7500019069,"34",120
"135",-66.9166660309,43.7500019069,"34",121
"136",-66.7499990459,43.7500019069,"34",122
"137",-66.5833330146,43.7500019069,"34",123
"138",-66.4166660301,43.7500019069,"34",124
"139",-66.2499990455,43.7500019069,"34",125
"140",-66.0935379228,43.7349666328,"34",126
"141",-65.9217216321,43.7559699971,"34",127
"142",-67.2366292787,43.5912069896,"34",132
"143",-67.0833330154,43.5833358761,"34",133
"144",-66.9166660309,43.5833358761,"34",134
"145",-66.7499990459,43.5833358761,"34",135
"146",-66.5833330146,43.5833358761,"34",136
"147",-66.4166660301,43.5833358761,"34",137
"148",-66.2499990455,43.5833358761,"34",138
"149",-66.0833330147,43.5833358761,"34",139
"150",-65.9166660302,43.5833358761,"34",140
"151",-65.7866398262,43.5966602954,"34",141
"152",-67.1987889642,43.4341029718,"34",148
"153",-67.0833330154,43.4166679378,"34",149
"154",-66.9166660309,43.4166679378,"34",150
"155",-66.7499990459,43.4166679378,"34",151
"156",-66.5833330146,43.4166679378,"34",152
"157",-66.4166660301,43.4166679378,"34",153
"158",-66.2499990455,43.4166679378,"34",154
"159",-66.0833330147,43.4166679378,"34",155
"160",-65.9166660302,43.4166679378,"34",156
"161",-65.7499990456,43.4166679378,"34",157
"162",-65.5844469294,43.43815841,"34",158
"163",-65.4787235255,43.3768838243,"34",159
"164",-67.0715339094,43.2573401135,"34",167
"165",-66.9166660309,43.250001907,"34",168
"166",-66.7499990459,43.250001907,"34",169
"167",-66.5833330146,43.250001907,"34",170
"168",-66.4166660301,43.250001907,"34",171
"169",-66.2499990455,43.250001907,"34",172
"170",-66.0833330147,43.250001907,"34",173
"171",-65.9166660302,43.250001907,"34",174
"172",-65.7499990456,43.250001907,"34",175
"173",-65.5833330148,43.250001907,"34",176
"174",-65.4450866324,43.2391843989,"34",177
"175",-67.0361244227,43.1144769104,"34",185
"176",-66.9162550179,43.0837421269,"34",186
"177",-66.7499990459,43.0833358762,"34",187
"178",-66.5833330146,43.0833358762,"34",188
"179",-66.4166660301,43.0833358762,"34",189
"180",-66.2499990455,43.0833358762,"34",190
"181",-66.0833330147,43.0833358762,"34",191
"182",-65.9166660302,43.0833358762,"34",192
"183",-65.7499990456,43.0833358762,"34",193
"184",-65.5833330148,43.0833358762,"34",194
"185",-65.417975545,43.0821548042,"34",195
"186",-65.3133284244,43.0409463242,"34",196
"187",-66.8836371102,42.9410177863,"34",204
"188",-66.7499990459,42.9166679379,"34",205
"189",-66.5830995685,42.9166162324,"34",206
"190",-66.4165112957,42.9584161675,"34",207
"191",-66.2499990455,42.9583911893,"34",208
"192",-66.0833330147,42.9583911893,"34",209
"193",-65.9166661208,42.9583912592,"34",210
"194",-65.7499996388,42.9583921678,"34",211
"195",-65.5833330148,42.9583930967,"34",212
"196",-65.4166660303,42.9583930967,"34",213
