"FEATURECLASS","FEATUREID","minX","maxX","minY","maxY"
"STRATA","5Z8",-70,-66.29158,39.92466,41.22712
"STRATA","USA_01",-73.830002,-72.269997,39.470001,40.759998
"STRATA","USA_02",-73.639999,-71.730003,39.209999,40.509998
"STRATA","USA_03",-72.790001,-71.690002,39.150002,39.959999
"STRATA","USA_04",-72.730003,-71.650002,39.130001,39.900002
"STRATA","USA_05",-72.510002,-70.730003,40.509998,41.389999
"STRATA","USA_06",-72.269997,-70.519997,39.950001,40.950001
"STRATA","USA_07",-71.730003,-70.470001,39.900002,40.299999
"STRATA","USA_08",-71.690002,-70.43,39.869999,40.09
"STRATA","USA_09",-70.849998,-69.169998,40.549999,41.25
"STRATA","USA_10",-70.730003,-68.809998,40,41
"STRATA","USA_11",-70.529999,-68.790001,39.93,40.259998
"STRATA","USA_12",-70.470001,-68.790001,39.900002,40.200001
"STRATA","USA_13",-68.910004,-66.809998,40.240002,41.200001
"STRATA","USA_14",-68.809998,-66.779999,40.119999,40.810001
"STRATA","USA_15",-68.790001,-66.739998,40.09,40.779999
"STRATA","USA_16",-67.330002,-65.889999,40.810001,42.080002
"STRATA","USA_17",-66.809998,-65.720001,40.779999,42.080002
"STRATA","USA_18",-66.779999,-65.68,40.75,42.080002
"STRATA","USA_19",-68.68,-66.940002,40.650002,42.07
"STRATA","USA_20",-68.669998,-67.050003,41,42.099998
"STRATA","USA_21",-68.440002,-66.040001,41.66,42.18
"STRATA","USA_22",-68.459999,-65.940002,41.68,42.240002
"STRATA","USA_23",-69.910004,-68.339996,41,42.049999
"STRATA","USA_24",-69.849998,-68.269997,41.189999,42.450001
"STRATA","USA_25",-69.980003,-69.160004,41,42.029999
"STRATA","USA_26",-70.669998,-69.849998,42.029999,43.23
"STRATA","USA_27",-70.470001,-69.720001,42.049999,43.43
"STRATA","USA_28",-69.970001,-68.480003,41.810001,43.110001
"STRATA","USA_29",-68.540001,-65.57,41.77,42.799999
"STRATA","USA_30",-67.550003,-66.489998,42.279999,42.619999
"STRATA","USA_31",-67.050003,-65.169998,42.16,43.169998
"STRATA","USA_32",-66.480003,-65.290001,42.400002,42.860001
"STRATA","USA_33",-66.730003,-66.18,43.130001,44.27
"STRATA","USA_34",-67.489998,-66.440002,42.91,44.220001
"STRATA","USA_35",-67.400002,-66.089996,44.029999,44.82
"STRATA","USA_36",-68.57,-66.610001,42.759998,44.299999
"STRATA","USA_37",-69.959999,-68.449997,42.57,43.32
